"cow","year","terrorinclead","terrorinc","totspendrevlog","transferslog","welfarelog","poplog","democ","govcap","conflict","govleft","tradelog","europe","africa","asia","america","gdppclog","totspendrevper","welfarepercent","transfersper"
630,1989,1,4,-1.98195195198059,-3.2238883972168,-2.55876851081848,17.7900905609131,-6,1.03492832183838,0,0,3.13167953491211,0,0,0,0,8.17301177978516,13.7799997329712,7.73999977111816,3.98000001907349
630,1990,5,1,-1.71147060394287,-2.8913722038269,-2.34028697013855,17.8118705749512,-6,0.877675414085388,0,0,3.81814455986023,0,0,0,0,8.26307487487793,18.0599994659424,9.63000011444092,5.55000066757202
630,1991,0,5,-1.78796660900116,-3.1559009552002,-2.4973840713501,17.8279495239258,-6,0.896781027317047,0,0,3.65985369682312,0,0,0,0,8.37470722198486,16.7299995422363,8.22999954223633,4.26000022888184
630,1992,4,0,-1.68685901165009,-3.04072952270508,-2.35282635688782,17.844030380249,-6,0.744964182376862,0,0,3.58074879646301,0,0,0,0,8.45446681976318,18.5100002288818,9.51000022888184,4.78000068664551
630,1993,6,4,-1.44731903076172,-2.99573230743408,-2.27108645439148,17.8601093292236,-6,0.697034180164337,0,0,3.91908645629883,0,0,0,0,8.47803688049316,23.5200004577637,10.3200006484985,4.99999952316284
630,1994,1,6,-1.41840445995331,-3.10109281539917,-2.40240526199341,17.8761901855469,-6,0.680561244487762,0,0,3.99299240112305,0,0,0,0,8.49290084838867,24.2099990844727,9.05000019073486,4.5
630,1995,1,1,-1.37634408473969,-3.06615471839905,-2.43726015090942,17.8922691345215,-6,0.628667891025543,0,0,3.66326332092285,0,0,0,0,8.53836727142334,25.25,8.73999977111816,4.65999984741211
640,1975,16,9,-2.14814877510071,-4.56594944000244,NA,17.5050106048584,9,0.842816054821014,0,1,2.70601606369019,0,0,0,0,7.45356178283691,11.6700000762939,NA,1.03999996185303
640,1976,11,16,-1.92346394062042,-4.20639419555664,NA,17.5269203186035,9,0.887157917022705,0,0,2.70239543914795,0,0,0,0,7.5579948425293,14.6099996566772,NA,1.48999977111816
640,1977,6,11,-1.88190305233002,-4.49184131622314,NA,17.5474491119385,9,0.869823217391968,0,0,2.6382691860199,0,0,0,0,7.60936594009399,15.2299995422363,NA,1.12000024318695
